Read Time:           0.00068
Build Time:          0.00001
Reading hyperparameters config file add-hyperparams-filename...
num_nodes : 10 ; num_edges : 45； num_walks_per_node: 10; max_walk_length: 5
num_walks_per_node : 10
start : 45 ; end : 0; src_node: 45; num_of_walk : 0; max_walk_length:  9; i : 0
start : 45 ; end : 0; src_node: 45; num_of_walk : 0; max_walk_length:  9; i : 0
start : 45 ; end : 0; src_node: 45; num_of_walk : 0; max_walk_length:  9; i : 0
start : 45 ; end : 0; src_node: 45; num_of_walk : 0; max_walk_length:  9; i : 0
start : 24 ; end : 0; src_node: 30; num_of_walk : 0; max_walk_length:  3; i : 0
start : 24 ; end : 0; src_node: 30; num_of_walk : 0; max_walk_length:  3; i : 0
start : 24 ; end : 0; src_node: 30; num_of_walk : 0; max_walk_length:  3; i : 0
start : 24 ; end : 0; src_node: 30; num_of_walk : 0; max_walk_length:  3; i : 0
start : 24 ; end : 0; src_node: 30; num_of_walk : 0; max_walk_length:  3; i : 0
start : 24 ; end : 0; src_node: 30; num_of_walk : 0; max_walk_length:  3; i : 0
start : 24 ; end : 0; src_node: 30; num_of_walk : 0; max_walk_length:  3; i : 0
start : 24 ; end : 0; src_node: 30; num_of_walk : 0; max_walk_length:  3; i : 0
start : 30 ; end : 0; src_node: 35; num_of_walk : 0; max_walk_length:  4; i : 0
start : 30 ; end : 0; src_node: 35; num_of_walk : 0; max_walk_length:  4; i : 0
start : 30 ; end : 0; src_node: 35; num_of_walk : 0; max_walk_length:  4; i : 0
start : 30 ; end : 0; src_node: 35; num_of_walk : 0; max_walk_length:  4; i : 0
start : 30 ; end : 0; src_node: 35; num_of_walk : 0; max_walk_length:  4; i : 0
start : 30 ; end : 0; src_node: 35; num_of_walk : 0; max_walk_length:  4; i : 0
start : 30 ; end : 0; src_node: 35; num_of_walk : 0; max_walk_length:  4; i : 0
start : 30 ; end : 0; src_node: 35; num_of_walk : 0; max_walk_length:  4; i : 0
start : 30 ; end : 0; src_node: 35; num_of_walk : 0; max_walk_length:  4; i : 0
start : 30 ; end : 0; src_node: 35; num_of_walk : 0; max_walk_length:  4; i : 0
start : 35 ; end : 0; src_node: 39; num_of_walk : 0; max_walk_length:  5; i : 0
start : 35 ; end : 0; src_node: 39; num_of_walk : 0; max_walk_length:  5; i : 0
start : 35 ; end : 0; src_node: 39; num_of_walk : 0; max_walk_length:  5; i : 0
start : 35 ; end : 0; src_node: 39; num_of_walk : 0; max_walk_length:  5; i : 0
start : 35 ; end : 0; src_node: 39; num_of_walk : 0; max_walk_length:  5; i : 0
start : 35 ; end : 0; src_node: 39; num_of_walk : 0; max_walk_length:  5; i : 0
start : 35 ; end : 0; src_node: 39; num_of_walk : 0; max_walk_length:  5; i : 0
start : 35 ; end : 0; src_node: 39; num_of_walk : 0; max_walk_length:  5; i : 0
start : 35 ; end : 0; src_node: 39; num_of_walk : 0; max_walk_length:  5; i : 0
start : 35 ; end : 0; src_node: 39; num_of_walk : 0; max_walk_length:  5; i : 0
start : 39 ; end : 0; src_node: 42; num_of_walk : 0; max_walk_length:  6; i : 0
start : 39 ; end : 0; src_node: 42; num_of_walk : 0; max_walk_length:  6; i : 0
start : 39 ; end : 0; src_node: 42; num_of_walk : 0; max_walk_length:  6; i : 0
start : 39 ; end : 0; src_node: 42; num_of_walk : 0; max_walk_length:  6; i : 0
